,Status,MARCField,MARCFieldLabel,MARCInd1Label,MARCInd1Value,MARCInd1ValueLabel,MARCInd2Label,MARCInd2Value,MARCInd2ValueLabel,CharacterPosition,CharacterPositionLabel,MARCSubfield,MARCSubfieldLabel,CodeValue,CodeValueLabel,MARCTagCondition1,Condition1Values,MARCTagCondition2,Condition2Values,RDA Registry URI,RDA Registry Label,Recording Method,Justification for Mapping,Transformation Notes,Problems with Mapping,Notes (Uncategorized)
0,loss,365,TRADE PRICE (R),Undefined,#,Undefined,Undefined,#,Undefined,,,a,Price type code (NR),,,,,,,http://rdaregistry.info/Elements/m/P30137,has note on manifestation,structured | unstructured | identifier,No RDA elements for this; maps adequatle to manifestation note,,,
1,loss,365,TRADE PRICE (R),Undefined,#,Undefined,Undefined,#,Undefined,,,b,Price amount (NR),,,,,,,http://rdaregistry.info/Elements/m/P30137,has note on manifestation,structured | unstructured | identifier,No RDA elements for this; maps adequatle to manifestation note,,,
2,loss,365,TRADE PRICE (R),Undefined,#,Undefined,Undefined,#,Undefined,,,c,Currency code (NR),,,,,,,http://rdaregistry.info/Elements/m/P30137,has note on manifestation,structured | unstructured | identifier,No RDA elements for this; maps adequatle to manifestation note,,,
3,loss,365,TRADE PRICE (R),Undefined,#,Undefined,Undefined,#,Undefined,,,d,Unit of pricing (NR),,,,,,,http://rdaregistry.info/Elements/m/P30137,has note on manifestation,structured | unstructured | identifier,No RDA elements for this; maps adequatle to manifestation note,,,
4,loss,365,TRADE PRICE (R),Undefined,#,Undefined,Undefined,#,Undefined,,,e,Price note (NR),,,,,,,http://rdaregistry.info/Elements/m/P30137,has note on manifestation,structured | unstructured | identifier,No RDA elements for this; maps adequatle to manifestation note,,,
5,loss,365,TRADE PRICE (R),Undefined,#,Undefined,Undefined,#,Undefined,,,f,Price effective from (NR),,,,,,,http://rdaregistry.info/Elements/m/P30137,has note on manifestation,structured | unstructured | identifier,No RDA elements for this; maps adequatle to manifestation note,,,
6,loss,365,TRADE PRICE (R),Undefined,#,Undefined,Undefined,#,Undefined,,,g,Price effective until (NR),,,,,,,http://rdaregistry.info/Elements/m/P30137,has note on manifestation,structured | unstructured | identifier,No RDA elements for this; maps adequatle to manifestation note,,,
7,loss,365,TRADE PRICE (R),Undefined,#,Undefined,Undefined,#,Undefined,,,h,Tax rate 1 (NR),,,,,,,http://rdaregistry.info/Elements/m/P30137,has note on manifestation,structured | unstructured | identifier,No RDA elements for this; maps adequatle to manifestation note,,,
8,loss,365,TRADE PRICE (R),Undefined,#,Undefined,Undefined,#,Undefined,,,i,Tax rate 2 (NR),,,,,,,http://rdaregistry.info/Elements/m/P30137,has note on manifestation,structured | unstructured | identifier,No RDA elements for this; maps adequatle to manifestation note,,,
9,loss,365,TRADE PRICE (R),Undefined,#,Undefined,Undefined,#,Undefined,,,j,ISO country code (NR),,,,,,,http://rdaregistry.info/Elements/m/P30137,has note on manifestation,structured | unstructured | identifier,No RDA elements for this; maps adequatle to manifestation note,,,
10,loss,365,TRADE PRICE (R),Undefined,#,Undefined,Undefined,#,Undefined,,,k,MARC country code (NR),,,,,,,http://rdaregistry.info/Elements/m/P30137,has note on manifestation,structured | unstructured | identifier,No RDA elements for this; maps adequatle to manifestation note,,,
11,loss,365,TRADE PRICE (R),Undefined,#,Undefined,Undefined,#,Undefined,,,m,Identification of pricing entity (NR),,,,,,,http://rdaregistry.info/Elements/m/P30137,has note on manifestation,structured | unstructured | identifier,No RDA elements for this; maps adequatle to manifestation note,,,
12,,365,TRADE PRICE (R),Undefined,#,Undefined,Undefined,#,Undefined,,,2,Source of price type code (NR),,,,,,,,,,,,,
13,,365,TRADE PRICE (R),Undefined,#,Undefined,Undefined,#,Undefined,,,6,Linkage (NR),,,,,,,,,,,,,
14,,365,TRADE PRICE (R),Undefined,#,Undefined,Undefined,#,Undefined,,,8,Field link and sequence number (R),,,,,,,,,,,,,
